,Exception Name,GeoPy Sub,Carnegie Name,MSI Classification,Research Classification
0,"ABOR, University of Arizona","888 N EUCLID AVE,  Tucson, AZ 85722",University of Arizona,HSI,R1
1,Academia Sinica,None,Academia Sinica,None,F
2,Academia Sinica,None,Academia Sinica,None,F
3,Academia Sinica Institute of Astronomy and Astrophysics,None,Academia Sinica Institute of Astronomy and Astrophysics,None,F
4,Adler Planetarium,None,Adler Planetarium,None,RC
5,Adler Planetarium,None,Adler Planetarium,None,RC
6,"ADNET Systems, Inc.","6720B Rockledge Dr,Bethesda, MD","ADNET Systems, Inc.",None,I
7,Agenzia Spaziale Italiana,None,Agenzia Spaziale Italiana,None,F
8,Agenzia Spaziale Italiana,None,Agenzia Spaziale Italiana,None,F
9,AIP,None,AIP,None,F
10,Alabama A&M University,Alabama A & M University,Alabama A & M University,HBCU,R2 - 18
11,ALMA SCO,None,ALMA SCO,None,F
12,ALMA SCO,None,ALMA SCO,None,F
13,"American Alliance Financial & Funding Group, LLC",49435-9755,"American Alliance Financial & Funding Group, LLC",None,I
14,American Astronomical Society,None,American Astronomical Society,None,I
15,American Astronomical Society,None,American Astronomical Society,None,I
16,American Museum of Natural History,None,American Museum of Natural History,None,RC
17,American Museum of Natural History,None,American Museum of Natural History,None,RC
18,"American Museum Of Natural History, The",American Museum Of Natural History,American Museum of Natural History,None,RC
19,Ames Research Center,None,Ames Research Center,None,G
20,Aoyama Gakuin University,None,Aoyama Gakuin University,None,F
21,Aoyama Gakuin University,None,Aoyama Gakuin University,None,F
22,Arecibo Observatory,None,Arecibo Observatory,None,None
23,Arecibo Observatory,None,Arecibo Observatory,None,None
24,Argonne National Laboratory,None,Argonne National Laboratory,None,G
25,Argonne National Laboratory,None,Argonne National Laboratory,None,G
26,"Arizona Board of Regents, University of Arizona","888 N EUCLID AVE,  Tucson, AZ 85722",University of Arizona,HSI,R1
27,Arizona State University,None,Arizona State University Campus Immersion,HSI,R1
28,ARIZONA STATE UNIVERSITY,None,Arizona State University Campus Immersion,HSI,R1
29,Arizona State University (School of Earth and Space Exploration),None,Arizona State University Campus Immersion,HSI,R1
30,Armagh Observatory and Planetarium,None,Armagh Observatory and Planetarium,None,F
31,Armagh Observatory and Planetarium,None,Armagh Observatory and Planetarium,None,F
32,"Associated Universities, Inc.","1400 16th St NW, Washington, DC 20036","Associated Universities, Inc.",None,I
33,"Association Of Universities For Research In Astronomy, Inc.","1331 Pennsylvania Ave. NW, Washington, DC 20004","Association Of Universities For Research In Astronomy, Inc.",None,I
34,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",None,"Association Of Universities For Research In Astronomy, Inc.",None,I
35,ASTRON,None,Space Research Organization Netherlands,None,F
36,Astronomical Institute ASCR,None,Astronomical Institute ASCR,None,F
37,"Astronomical Institute, AV CR",None,Astronomical Institute ASCR,None,F
38,Astrophysical Advances,"607 Marion Pl, Palo Alto, CA",Astrophysical Advances,None,I
39,ASTROPHYSICAL ADVANCES,None,Astrophysical Advances,None,I
40,"Astrophysics Group, University of Exeter",None,University of Exeter,None,F
41,Astrophysics Science Division,None,NASA,None,G
42,ASU,None,Arizona State University Campus Immersion,None,R1
43,ATA Aerospace,None,ATA Aerospace,None,I
44,ATA Aerospace,None,ATA Aerospace,None,I
45,AUI,None,"Association Of Universities For Research In Astronomy, Inc.",None,I
46,AURA/NSO,None,"Association Of Universities For Research In Astronomy, Inc.",None,I
47,Autonomous University of Madrid,None,Autonomous University of Madrid,None,F
48,Ball Aerospace,None,Ball Aerospace,None,I
49,Ball Aerospace & Technologies Corp,None,Ball Aerospace,None,I
50,Ball Aerospace & Technologies Corp.,None,Ball Aerospace,None,I
51,Ball Aerospace & Technologies Corporation,80026-1289,Ball Aerospace,None,I
52,Ball Aerospace and Technologies Corp.,None,Ball Aerospace,None,I
53,BARNARD COLLEGE,None,Barnard College,None,4Y
54,Battel Engineering,None,Battel Engineering,None,I
55,Battel Engineering,None,Battel Engineering,None,I
56,Battelle Memorial Institute,None,Battelle Memorial Institute,None,I
57,Battelle Memorial Institute,None,Battelle Memorial Institute,None,I
58,"Bay Area Environmental Research Institute, Inc.",Ames Research Center,Ames Research Center,None,G
59,Ben Margalit,None,None,None,None
60,Bishop's University,None,Bishop's University,None,F
61,Bishop's University,None,Bishop's University,None,F
62,Blue Marble Space,None,Blue Marble Space,None,RC
63,Blue Marble Space,None,Blue Marble Space,None,RC
64,BOARD OF REGENTS NEVADA SYSTEM OF HIGHER EDUCATION,"University of Nevada, Las Vegas",University of Nevada-Las Vegas,None,R1
65,Boston Micromachines,None,Boston Micromachines,None,I
66,Boston Micromachines,None,Boston Micromachines,None,I
67,Boston Micromachines Corporation,02138-1070,Boston Micromachines Corporation,None,I
68,Boston Univesity,None,Boston University,None,R1
69,Boston Univestiy,None,Boston University,None,R1
70,BRIGHAM YOUNG UNIVERSITY,None,Brigham Young University,None,R2
71,Brookhaven Naitonal Lab.,None,Brookhaven National Laboratory,None,G
72,Brookhaven National Lab,None,Brookhaven National Laboratory,None,G
73,Brookhaven National Laboratory,None,Brookhaven National Laboratory,None,G
74,Brookhaven National Laboratory,None,Brookhaven National Laboratory,None,G
75,Brookhaven Science Associates,11973,Brookhaven Science Associates,None,I
76,BROWN UNIVERSITY,None,Brown University,None,R1
77,Bryka Skystocks LLC,None,Bryka Skystocks LLC,None,I
78,Bryka Skystocks LLC,None,Bryka Skystocks LLC,None,I
79,Burrows Consulting,None,Burrows Consulting,None,I
80,Burrows Consulting,None,Burrows Consulting,None,I
81,Busek Co. Inc.,01760-1023,Busek Co. Inc.,None,I
82,Cal Poly Pomona Foundation,None,California State Polytechnic University-Pomona,None,R2 - 18
83,Cal Poly San Luis Obispo,None,California Polytechnic State University-San Luis Obispo,None,R2 - 18
84,California Association For Research In Astronomy,96743-8431,California Association For Research In Astronomy,None,I
85,California Institute of  Technology,None,California Institute of Technology,None,R1
86,CALIFORNIA INSTITUTE OF TECHNOLOGY,None,California Institute of Technology,None,R1
87,California Institute of Technology- CalTech,None,California Institute of Technology,None,R1
88,California Institute of Technology/Jet Propulsion Laboratory,None,California Institute of Technology,None,R1
89,"California Polytechnic State University, San Luis Obispo",None,California Polytechnic State University-San Luis Obispo,None,R2 - 18
90,California State Univ at Los Angeles,None,California State University-Los Angeles,HSI,R2 - 18
91,California State University at Northridge,None,California State University-Northridge,HSI,R2 - 18
92,California State University Fullerton,None,California State University-Fullerton,None,R2
93,California State University Northridge,None,California State University-Northridge,HSI,R2 - 18
94,CALIFORNIA STATE UNIVERSITY SAN MARCOS CORPORATION,92096-0001,California State University-San Marcos,None,R2 - 18
95,"California State University, Fresno",None,California State University-Fresno,None,R2
96,"California State University, Fullerton",None,California State University-Fullerton,None,R2
97,"California State University, Northridge",None,California State University-Northridge,HSI,R2 - 18
98,"California State University, San Francisco",California State University San Francisco,San Francisco State University,None,R2
99,"California State University, San Marcos",None,California State University-San Marcos,HSI,R2 - 18
100,Caltech,None,California Institute of Technology,None,R1
101,Caltech- IPAC,None,California Institute of Technology,None,R1
102,Caltech/IPAC,None,California Institute of Technology,None,R1
103,Cardiff University,None,Cardiff University,None,F
104,Cardiff University,None,Cardiff University,None,F
105,Carnegie Institution,20015-1305,Carnegie Institution for Science,None,RC
106,Carnegie Institution for Science,None,Carnegie Institution for Science,None,RC
107,Carnegie Institution Of Washington,None,Carnegie Institution for Science,None,RC
108,CARNEGIE INSTITUTION OF WASHINGTON,None,Carnegie Institution for Science,None,RC
109,Carnegie Institution of Washington,None,Carnegie Institution for Science,None,RC
110,Carnegie Mellon,None,Carnegie Mellon University,None,R1
