,Exception Name,GeoPy Sub,Carnegie Name,MSI Classification,Research Classification
0,University Of Richmond,None,University of Richmond,None,4Y
1,Trustees of Amherst College,01002-2372,Amherst College,None,4Y - 21
2,"TRUSTEES OF GRINNELL COLLEGE, THE",50112-1500,Grinnell College,None,4Y - 21
3,"Vassar College, Inc.",Vassar College,Vassar College,None,4Y - 21
4,NASA Ames Research Center,None,Ames Research Center,None,G
5,Ames Research Center,None,Ames Research Center,None,G
6,Jet Propulsion Laboratory,None,Jet Propulsion Laboratory,None,G
7,Jet Propulsion Laboratory,None,Jet Propulsion Laboratory,None,G
8,Lawrence Berkeley National Laboratory,None,Lawrence Berkeley National Laboratory,None,G
9,Lawrence Berkeley National Laboratory,None,Lawrence Berkeley National Laboratory,None,G
10,"ENERGY LIVERMORE OFFICE, UNITED STATES DEPARTMENT OF",94550-9698,Lawrence Livermore National Laboratory,None,G
11,Lawrence Livermore National Laboratory/Dept of Energy,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,None,G
12,"Lawrence Livermore National Security, LLC",Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,None,G
13,Los Alamos National Laboratory/University of California,Los Alamos National Laboratory,Los Alamos National Laboratory,None,G
14,"Los Alamos National Security, LLC",87544-0600,Los Alamos National Laboratory,None,G
15,NASA / Goddard Space Flight Center,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
16,NASA Foreign PI Support Organization,20771-2400,NASA Foreign PI Support Organization,None,G
17,NASA Goddard Space Flight Center,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
18,NASA Marshall Space Flight Center,"Martin Rd SW, Huntsville, AL 35808",NASA Marshall Space Flight Center,None,G
19,NASA/GODDARD SPACE FLIGHT CENTER,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
20,NASA/GSFC/ORAU,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
21,National Institute Of Standards & Technology,80305-3337,National Institute of Standards and Technology,None,G
22,Naval Research Lab,"4555 Overlook Ave. SW Washington, DC 20375",Naval Research Laboratory,None,G
23,NSPIRES Anonymous Proposal Submission Organization,20771-2400,NSPIRES,None,G
24,"ADNET Systems, Inc.","6720B Rockledge Dr,Bethesda, MD","ADNET Systems, Inc.",None,I
25,Battelle Memorial Institute,None,Battelle Memorial Institute,None,I
26,Battelle Memorial Institute,None,Battelle Memorial Institute,None,I
27,Lockheed Martin Inc.,Lockheed Martin,Lockheed Martin,None,I
28,Million Concepts LLC,"1355 Bardstown Rd,Louisville, KY",Million Concepts LLC,None,I
29,"Morningstar Applied Physics, LLC",22182-1440,"Morningstar Applied Physics, LLC",None,I
30,"NMC, INC.",87545,"NMC, INC.",None,I
31,"NorthWest Research Associates, Inc","3380 Mitchell Ln,Boulder, CO","NorthWest Research Associates, Inc",None,I
32,"NorthWest Research Associates, Inc.",80301-5410,"NorthWest Research Associates, Inc",None,I
33,Photonic Cleaning Technologies LLC,53818-8977,Photonic Cleaning Technologies LLC,None,I
34,Planetary Resources Development Corporation,98052-6714,Planetary Resources Development Corporation,None,I
35,"Praxis, Inc.",81236-0127,"Praxis, Inc.",None,I
36,Raytheon BBN Technologies,02138-1119,Raytheon Technologies,None,I
37,Raytheon BBN Technologies Corp.,02138-1119,Raytheon Technologies,None,I
38,Reflective X-Ray Optics LLC,10025-7775,Reflective X-Ray Optics LLC,None,I
39,SCIENCE SYSTEMS & APPLICATIONS INC,"8800 Greenbelt Rd, Greenbelt, MD 20771","Science Systems And Applications, Inc.",None,I
40,"Science Systems And Applications, Inc.","10210 Greenbelt Rd., Lanham, MD 20706","Science Systems And Applications, Inc.",None,I
41,Sigma Space Corporation,20706-4312,Sigma Space Corporation,None,I
42,SIGMA SPACE LLC,20706-4312,Sigma Space Corporation,None,I
43,Space Environment Technologies,90503-2136,Space Environment Technologies,None,I
44,SPACE SCIENCE AND TECHNOLOGY INC,22153-1830,Space Science and Technology,None,I
45,"Spectral Sciences, Inc","4 4th Ave,Burlington,MA","Spectral Sciences, Inc",None,I
46,Technoscience Corporation,94306-0658,Technoscience Corporation,None,I
47,Trex Enterprises Corporation,87107-1631,Trex Enterprises Corporation,None,I
48,TRIAD NATIONAL SECURITY LLC,87545-0001,"Triad National Security, LLC",None,I
49,"Triad National Security, LLC",87544-0600,"Triad National Security, LLC",None,I
50,TRID System,"6230 Wilshire Blvd,Los Angeles, CA",TRID System,None,I
51,TRID System,90048-5126,TRID System,None,I
52,"Universities Space Research Association, Columbia","425 3rd St SW, Washington, DC 20024",Universities Space Research Association,None,I
53,University Corporation For Atmospheric Research (UCAR),"3090 Center Green Dr., Boulder, CO 80301",University Corporation For Atmospheric Research,None,I
54,"University Enterprises, Inc.",95819-2605,"University Enterprises, Inc.",None,I
55,"UT-BATTELLE, LLC","Bethel Valley Road, Oak Ridge TN 37831-6372","UT-BATTELLE, LLC",None,I
56,White Dwarf Research Corp,"9020 Brumm Trl,Golden, CO",White Dwarf Research Corporation,None,I
57,"WinSet Group, LLC","6107 Arlington Blvd,Falls Church, VA","WinSet Group, LLC",None,I
58,Within the Heliosphere,"419 Via El Chico, 419 Via El Chico, CA",Within the Heliosphere,None,I
59,Zecoat Corporation,63119-3610,Zecoat Corporation,None,I
60,SETI Institute,None,SETI Institute,None,RC
61,SETI Institute,None,SETI Institute,None,RC
62,Space Science Institute,None,Space Science Institute,None,I
63,Space Science Institute,None,Space Science Institute,None,I
64,Tech-X Corporation,None,Tech-X Corporation,None,I
65,Tech-X Corporation,None,Tech-X Corporation,None,I
66,The Aerospace Corporation,None,The Aerospace Corporation,None,I
67,The Aerospace Corporation,None,The Aerospace Corporation,None,I
68,"American Alliance Financial & Funding Group, LLC",49435-9755,"American Alliance Financial & Funding Group, LLC",None,I
69,"American Museum Of Natural History, The",American Museum Of Natural History,American Museum of Natural History,None,RC
70,"Associated Universities, Inc.","1400 16th St NW, Washington, DC 20036","Associated Universities, Inc.",None,I
71,"Association Of Universities For Research In Astronomy, Inc.","1331 Pennsylvania Ave. NW, Washington, DC 20004","Association Of Universities For Research In Astronomy, Inc.",None,I
72,Astrophysical Advances,"607 Marion Pl, Palo Alto, CA",Astrophysical Advances,None,I
73,Ball Aerospace & Technologies Corporation,80026-1289,Ball Aerospace,None,I
74,"Bay Area Environmental Research Institute, Inc.",Ames Research Center,Ames Research Center,None,G
75,Boston Micromachines Corporation,02138-1070,Boston Micromachines Corporation,None,I
76,Brookhaven Science Associates,11973,Brookhaven Science Associates,None,I
77,Busek Co. Inc.,01760-1023,Busek Co. Inc.,None,I
78,California Association For Research In Astronomy,96743-8431,California Association For Research In Astronomy,None,I
79,Carnegie Institution,20015-1305,Carnegie Institution for Science,None,RC
80,"Computational Physics, Inc.",22151-2115,"Computational Physics, Inc.",None,I
81,Consulting & Research,07052-2250,Consulting & Research,None,I
